region,in_current_catalogue,recommended_candidate,group,regional_rank,taxon_id,common_name,scientific_name,observation_count,proposed_frequency_rarity,current_editorial_rarity,current_prestige,model_version,review_action
mediterranean_europe,yes,yes,birds,299,204533,European Herring Gull,Larus argentatus,510,uncommon,uncommon,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,300,871,Barbary Partridge,Alectoris barbara,505,uncommon,uncommon,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,301,546379,Mediterranean Short-toed Lark,Alaudala rufescens,480,uncommon,uncommon,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,302,117088,Black-bellied Sandgrouse,Pterocles orientalis,479,uncommon,uncommon,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,303,863,Rock Partridge,Alectoris graeca,464,uncommon,uncommon,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,304,7107,Wood Duck,Aix sponsa,463,uncommon,uncommon,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,305,14811,Western Rock Nuthatch,Sitta neumayer,454,uncommon,uncommon,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,306,14840,Wallcreeper,Tichodroma muraria,454,uncommon,uncommon,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,307,20315,Short-eared Owl,Asio flammeus,434,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,308,5033,Eurasian Bittern,Botaurus stellaris,432,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,309,116802,Marsh Warbler,Acrocephalus palustris,424,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,310,3931,Eurasian Woodcock,Scolopax rusticola,422,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,311,827402,Madeira Firecrest,Regulus madeirensis,420,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,312,144850,African Blue Tit,Cyanistes teneriffae,412,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,313,13133,Collared Flycatcher,Ficedula albicollis,411,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,314,5309,White-tailed Eagle,Haliaeetus albicilla,386,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,315,7019,Greater White-fronted Goose,Anser albifrons,381,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,316,949,Rock Ptarmigan,Lagopus muta,380,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,317,4672,Merlin,Falco columbarius,376,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,318,178,Spotted Crake,Porzana porzana,375,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,319,4866,Spur-winged Lapwing,Vanellus spinosus,373,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,320,15560,Red-billed Leiothrix,Leiothrix lutea,368,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,321,3837,Temminck's Stint,Calidris temminckii,366,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,322,9237,Citril Finch,Carduelis citrinella,361,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,323,73315,Balearic Shearwater,Puffinus mauretanicus,353,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
